time_ms,ax,ay,az,gx,gy,gz
186011.0,-0.8523,0.7973,11.0516,-0.2214,0.1309,0.2315
186021.0,-0.6704,0.4405,11.0109,-0.2724,0.0851,0.2155
186031.0,-0.5291,0.1772,11.0588,-0.2496,0.0585,0.1815
186041.0,-0.5291,0.1652,10.9104,-0.0617,0.083,0.1522
186051.0,-0.7877,0.4142,10.6566,0.2549,0.1639,0.1453
186061.0,-1.1301,0.6177,10.4315,0.6258,0.3006,0.1708
186071.0,-1.6137,0.7278,10.5608,0.9786,0.48,0.2235
186081.0,-1.7909,0.4405,11.0205,1.3255,0.6928,0.2959
186091.0,-1.6927,-0.0024,11.382,1.6011,0.8892,0.3416
186101.0,-1.4413,-0.3352,11.959,1.6586,1.0068,0.3017
186111.0,-1.1588,-0.261,12.3325,1.4761,1.0456,0.1596
186121.0,-1.3623,0.2083,13.0412,1.0515,1.0467,-0.0575
186131.0,-1.9249,0.9984,14.1497,0.5135,1.0233,-0.29
186141.0,-2.6097,2.0327,15.5049,-0.0032,0.9477,-0.4704
186151.0,-3.3136,2.7485,16.9893,-0.4587,0.7471,-0.564
186161.0,-4.0151,3.2417,18.2199,-0.7327,0.448,-0.5726
186171.0,-4.4053,3.5721,18.8184,-0.7583,0.141,-0.4938
186181.0,-4.4843,3.5817,19.0267,-0.6641,-0.1703,-0.3618
186191.0,-4.3167,3.4548,18.7251,-0.5726,-0.5321,-0.2256
186201.0,-4.0223,3.1412,18.0236,-0.5827,-0.9344,-0.1213
186211.0,-3.6703,2.964,16.8767,-0.6667,-1.3159,-0.0665
186221.0,-3.4572,3.1268,15.5001,-0.8232,-1.6144,-0.0511
186231.0,-3.2585,3.2058,14.4682,-1.0451,-1.8161,-0.0357
186241.0,-2.8946,2.9784,13.7571,-1.234,-1.9326,-0.0048
186251.0,-3.0885,2.6863,13.307,-1.3377,-1.9513,0.033
186261.0,-3.0742,2.4684,13.0197,-1.3952,-1.9571,0.0692
186271.0,-2.7845,1.9537,13.4267,-1.5048,-2.0332,0.0968
186281.0,-2.8491,1.5299,13.7738,-1.5112,-2.188,0.1139
186291.0,-2.9544,1.4413,13.6062,-1.3175,-2.3775,0.1373
186301.0,-2.7246,1.494,12.7683,-1.0169,-2.5414,0.1783
186311.0,-2.4756,1.7214,11.4563,-0.7497,-2.6483,0.2315
186321.0,-2.4756,1.913,10.4435,-0.6465,-2.6914,0.2847
186331.0,-2.162,1.8268,9.6079,-0.6971,-2.7069,0.3384
186341.0,-1.9154,1.3431,9.7229,-0.861,-2.7212,0.3762
186351.0,-1.8076,0.826,9.924,-0.9248,-2.7617,0.4103
186361.0,-1.7166,0.5004,10.0293,-0.862,-2.8558,0.4406
186371.0,-1.4748,0.2801,9.8426,-0.7162,-3.0144,0.4784
186381.0,-1.1349,0.0311,8.9591,-0.5098,-3.1767,0.5284
186391.0,-0.7781,-0.0551,7.8578,-0.3453,-3.3103,0.564
186401.0,-0.6823,0.0407,6.5721,-0.2857,-3.4295,0.5843
186411.0,-0.3926,0.0934,5.3654,-0.3257,-3.538,0.5938
186421.0,-0.0263,0.1389,4.1372,-0.3751,-3.5838,0.6071
186431.0,0.2777,0.1341,2.8443,-0.4081,-3.562,0.6369
186441.0,0.814,-0.2059,1.6257,-0.4432,-3.4891,0.6726
186451.0,1.6137,-0.3567,-0.498,-0.53,-3.3986,0.6891
186461.0,2.8036,-1.0175,-1.9393,-0.8014,-3.2485,0.6662
186471.0,3.9289,-1.3503,-2.8515,-0.8711,-2.8521,0.6236
186481.0,4.13,-0.9361,-3.3734,-0.6705,-2.2519,0.596
186491.0,4.4628,-0.4932,-3.4572,-0.4959,-1.8693,0.6055
186501.0,4.9847,0.8811,-6.5864,-0.3475,-1.706,0.6673
186511.0,4.9321,1.6759,-11.1546,-0.7923,-1.6857,0.754
186521.0,4.7692,1.822,-15.919,-1.7022,-1.5878,0.8306
186531.0,4.3981,1.2043,-20.5542,-2.5776,-1.4362,0.8966
186541.0,5.1044,0.2442,-24.9787,-2.7265,-1.0578,0.9764
186551.0,3.201,0.3304,-29.0321,-1.4702,0.1096,1.1158
186561.0,1.64,-0.4717,-35.6353,0.7013,1.6373,1.284
186571.0,0.158,-1.221,-41.288,2.7468,3.5832,1.2574
