time_ms,ax,ay,az,gx,gy,gz
1915631.0,3.723,0.2705,10.2975,-0.0085,0.132,-0.049
1915641.0,3.8164,0.261,10.0748,-0.008,0.083,-0.0623
1915651.0,3.7948,0.3759,9.8234,-0.0245,0.0702,-0.0825
1915661.0,3.7781,0.5243,9.8497,-0.0447,0.1054,-0.099
1915671.0,3.6871,0.7254,10.0748,-0.0665,0.1405,-0.1059
1915681.0,3.5865,0.8787,10.2807,-0.0931,0.1293,-0.099
1915691.0,3.5817,0.7853,10.4363,-0.116,0.0867,-0.0788
1915701.0,3.6655,0.6967,10.4435,-0.0958,0.0325,-0.0559
1915711.0,3.711,0.7207,10.2232,-0.067,0.0027,-0.042
1915721.0,3.723,0.7374,10.0365,-0.0617,-0.0096,-0.0325
1915731.0,3.7014,0.6728,9.9359,-0.1006,-0.0186,-0.025
1915741.0,3.7469,0.5339,9.9647,-0.1437,-0.033,-0.0229
1915751.0,3.8211,0.4549,9.912,-0.1453,-0.0325,-0.0245
1915761.0,3.79,0.4669,9.8833,-0.1171,-0.017,-0.0261
1915771.0,3.7493,0.4788,9.8737,-0.091,-0.009,-0.0282
1915781.0,3.8283,0.5315,9.8474,-0.0676,-0.0048,-0.0271
1915792.0,3.8642,0.5938,9.7659,-0.0346,0.0186,-0.0239
1915801.0,3.79,0.6345,9.7875,-0.0197,0.0357,-0.0165
1915811.0,3.8595,0.5291,9.7779,-0.033,0.0271,-0.0122
1915821.0,3.8858,0.4788,9.5074,-0.0426,0.0064,-0.0133
1915831.0,3.9049,0.486,9.572,-0.0825,0.025,-0.0255
1915841.0,3.8331,0.5052,9.809,-0.0867,0.0601,-0.0314
1915851.0,3.7804,0.656,9.7803,-0.0607,0.0644,-0.0303
1915861.0,3.8164,0.7422,9.7731,-0.0697,0.042,-0.0186
1915871.0,3.8355,0.6273,9.7851,-0.0809,0.0197,0.0005
1915881.0,3.893,0.3831,9.6845,-0.0506,0.0069,0.0208
1915891.0,4.0127,0.1915,9.4212,-0.0133,0.0128,0.0202
1915901.0,4.0558,0.2155,9.2727,0.008,0.049,-0.0027
1915911.0,3.9337,0.4334,9.3326,0.0059,0.1075,-0.033
1915921.0,3.79,0.7087,9.5768,-0.0266,0.1586,-0.0527
1915931.0,3.6871,0.8619,9.9359,-0.0734,0.158,-0.0564
1915941.0,3.6943,0.9409,10.1035,-0.0894,0.1144,-0.0447
1915951.0,3.7182,0.9936,9.9862,-0.0665,0.0782,-0.025
1915961.0,3.735,1.0558,9.7396,-0.0479,0.0745,-0.0064
1915971.0,3.6966,1.1779,9.7468,-0.0378,0.1048,0.008
1915981.0,3.8068,1.3575,9.9623,-0.0229,0.1447,0.0261
1915991.0,3.5314,1.3982,10.3358,0.0101,0.1639,0.0639
1916001.0,3.5889,1.3431,10.3382,0.0633,0.1139,0.1096
1916011.0,3.7493,1.2713,10.058,0.0915,0.0628,0.1442
1916021.0,3.7876,1.2929,9.8593,0.0803,0.041,0.1623
1916031.0,3.7852,1.3072,9.6989,0.033,0.0218,0.1703
1916041.0,3.7661,1.3479,9.5217,-0.0303,-0.0021,0.1788
1916051.0,3.7709,1.3408,9.335,-0.1011,-0.0176,0.1878
1916061.0,3.8259,1.2258,9.2249,-0.1687,-0.017,0.2022
1916071.0,3.8427,1.0582,9.256,-0.1942,-0.0005,0.2192
1916081.0,3.9073,0.8835,9.1626,-0.1623,0.0186,0.2405
1916091.0,3.9768,0.7111,9.0118,-0.1054,0.0415,0.2597
1916101.0,4.0917,0.5459,8.8035,-0.0479,0.0782,0.2677
1916111.0,4.063,0.4525,8.6335,0.0016,0.1213,0.2645
1916121.0,4.0582,0.3472,8.4874,0.0309,0.165,0.2581
1916131.0,4.0031,0.261,8.4252,0.05,0.2293,0.241
1916141.0,4.0031,0.261,8.4252,0.05,0.2293,0.241
1916151.0,3.8858,0.328,8.4324,0.0867,0.3257,0.2235
1916161.0,3.7397,0.4525,8.6431,0.083,0.414,0.2107
1916171.0,3.5961,0.3615,9.1051,0.0229,0.4693,0.2065
1916181.0,3.4046,0.1844,9.5888,0.009,0.5007,0.2091
1916191.0,3.3758,-0.0335,9.8952,0.0713,0.5204,0.2176
1916201.0,3.2178,-0.3879,10.3765,0.1846,0.555,0.215
1916211.0,3.1819,-0.1293,9.9311,0.3544,0.58,0.2001
1916221.0,3.1627,-0.1437,9.8402,0.2826,0.6002,0.1745
1916231.0,3.1484,-0.4645,11.0014,0.0474,0.6093,0.1165
1916241.0,3.1795,-0.3065,11.6262,-0.0596,0.5497,0.0532
1916251.0,2.9209,-0.2322,12.3948,-0.1176,0.4885,0.0069
1916261.0,2.8563,-0.0551,12.6677,-0.1256,0.3602,-0.0133
1916271.0,2.7677,-0.0263,12.8425,-0.1804,0.1979,-0.0213
1916281.0,2.8635,-0.2418,12.8904,-0.2426,0.0463,-0.0223
1916291.0,2.988,-0.3615,12.7611,-0.2469,-0.0649,-0.033
1916301.0,3.0215,-0.4214,12.8138,-0.2687,-0.1309,-0.058
1916311.0,2.897,-0.3879,13.2232,-0.2815,-0.19,-0.0889
1916321.0,2.8276,-0.1532,13.4387,-0.2512,-0.3022,-0.1043
1916331.0,2.8204,-0.0766,13.465,-0.223,-0.4475,-0.1016
1916341.0,2.9736,-0.0239,13.0747,-0.166,-0.6274,-0.0798
1916351.0,3.1556,-0.0359,12.4235,-0.1415,-0.8072,-0.0601
1916361.0,3.3926,-0.17,11.5831,-0.1442,-0.9589,-0.0463
1916371.0,3.6248,-0.2227,10.5824,-0.1346,-1.0648,-0.0383
1916381.0,3.9217,-0.3615,9.5409,-0.1442,-1.1126,-0.0415
1916391.0,4.1994,-0.4573,8.588,-0.1767,-1.102,-0.0623
1916401.0,4.3646,-0.5028,7.8434,-0.2192,-1.0531,-0.0931
1916411.0,4.5538,-0.4932,7.1946,-0.2442,-0.9791,-0.1261
1916421.0,4.6831,-0.4166,6.5601,-0.2565,-0.8918,-0.1559
1916431.0,4.7405,-0.3831,5.9568,-0.273,-0.7923,-0.1772
1916441.0,4.8698,-0.3232,5.2074,-0.274,-0.6747,-0.1948
1916451.0,4.9225,-0.3711,4.3981,-0.3017,-0.5183,-0.2091
1916461.0,4.9895,-0.4717,3.9935,-0.3794,-0.3374,-0.2325
1916471.0,4.9823,-0.6895,3.9049,-0.4331,-0.1203,-0.257
1916481.0,4.853,-0.8859,3.6583,-0.4182,0.1006,-0.2841
1916491.0,4.7285,-1.1516,3.553,-0.4097,0.3235,-0.3219
1916501.0,4.3311,-1.4581,3.7302,-0.4065,0.5444,-0.3789
1916511.0,4.1899,-1.6185,3.7924,-0.3517,0.7418,-0.4496
1916521.0,4.0917,-1.5586,3.9361,-0.2932,0.9206,-0.5364
1916531.0,3.8211,-1.2713,4.0677,-0.2623,1.0828,-0.6263
1916541.0,3.5865,-0.7733,4.1252,-0.2714,1.2196,-0.6992
1916551.0,3.3447,-0.1963,4.3742,-0.3608,1.3234,-0.7423
1916561.0,2.8802,0.2035,4.6974,-0.5374,1.3697,-0.7343
1916571.0,2.4876,0.2179,4.8578,-0.7513,1.3452,-0.6768
1916581.0,2.308,-0.2921,4.6615,-0.977,1.2835,-0.5906
1916591.0,2.1021,-1.2953,4.4077,-1.1855,1.2797,-0.5209
1916601.0,2.0614,-2.296,3.9935,-1.3154,1.3409,-0.5002
1916611.0,1.9154,-2.9185,3.6655,-1.3771,1.4825,-0.5454
1916621.0,1.7837,-3.2896,3.5123,-1.3388,1.7091,-0.6263
1916631.0,1.5371,-3.3255,3.5769,-1.1589,2.0215,-0.7221
1916641.0,1.142,-2.727,3.5841,-0.9088,2.3647,-0.8205
1916651.0,0.6225,-1.8771,3.7757,-0.7466,2.6856,-0.8945
1916661.0,-0.2562,-1.0798,4.4269,-0.6886,2.966,-0.9211
1916671.0,-1.2809,-0.4405,5.023,-0.7082,3.1517,-0.8908
