time_ms,ax,ay,az,gx,gy,gz
141811.0,-2.7438,0.0335,10.3549,-0.1708,-0.2081,-0.4464
141821.0,-2.6312,0.2466,10.1442,-0.1687,-0.183,-0.4246
141831.0,-2.5977,0.4334,10.0796,-0.1479,-0.1517,-0.3922
141841.0,-2.5881,0.5914,10.0437,-0.1139,-0.1224,-0.348
141851.0,-2.5355,0.7518,9.991,-0.066,-0.0979,-0.2953
141861.0,-2.5355,0.7638,9.924,-0.0351,-0.0851,-0.2347
141871.0,-2.5642,0.7422,9.821,-0.0197,-0.0835,-0.1745
141881.0,-2.5115,0.6345,9.7444,-0.0176,-0.0835,-0.1192
141891.0,-2.4517,0.4669,9.6414,-0.0325,-0.0942,-0.074
141901.0,-2.3559,0.2298,9.6103,-0.0404,-0.1016,-0.0372
141911.0,-2.2553,0.0958,9.3709,-0.0234,-0.0942,-0.008
141921.0,-2.2266,-0.0934,9.3015,-0.0154,-0.0649,0.0213
141931.0,-2.2673,-0.3376,9.2632,-0.0085,-0.0176,0.0479
141941.0,-2.2841,-0.5674,9.3877,0.016,0.0341,0.066
141951.0,-2.2745,-0.8021,9.5648,0.0607,0.0788,0.0825
141961.0,-2.241,-1.0487,9.742,0.1261,0.1187,0.0942
141971.0,-2.2769,-1.2067,9.7875,0.1836,0.1469,0.0926
141981.0,-2.2745,-1.3144,9.8617,0.1836,0.1527,0.075
141991.0,-2.3774,-1.4365,9.8378,0.1224,0.1415,0.042
142001.0,-2.4325,-1.6065,9.9024,0.0229,0.125,-0.0064
142011.0,-2.5259,-1.7142,10.0509,-0.0569,0.1117,-0.0628
142021.0,-2.5235,-1.7573,10.2568,-0.1016,0.1038,-0.1197
142031.0,-2.4253,-1.7502,10.2113,-0.1203,0.0825,-0.1671
142041.0,-2.3846,-1.7119,10.1299,-0.132,0.0713,-0.2086
142051.0,-2.3224,-1.7095,10.1107,-0.1511,0.0915,-0.2533
142061.0,-2.2745,-1.64,10.331,-0.1783,0.116,-0.3038
142071.0,-2.3942,-1.4198,10.5393,-0.2001,0.1139,-0.3528
142081.0,-2.5283,-1.1875,10.8314,-0.216,0.0958,-0.389
142091.0,-2.6432,-0.9002,10.9607,-0.1916,0.0633,-0.4055
142101.0,-2.6193,-0.7685,11.1761,-0.1463,0.0245,-0.3986
142111.0,-2.4565,-0.6033,11.0421,-0.0809,-0.0192,-0.3783
142121.0,-2.2362,-0.5746,10.8745,-0.0458,-0.0564,-0.3592
142131.0,-2.0231,-0.5148,10.5321,-0.0644,-0.0772,-0.3501
142141.0,-1.8771,-0.4357,10.2185,-0.1724,-0.0772,-0.3539
142151.0,-1.8723,-0.4118,10.1179,-0.3576,-0.0442,-0.3592
142161.0,-1.9537,-0.5195,10.2376,-0.5954,-0.0133,-0.3544
142171.0,-1.8555,-1.0271,10.5512,-0.8349,0.0186,-0.3485
142181.0,-1.8627,-1.6831,11.2743,-1.0174,0.074,-0.3533
142191.0,-2.0111,-2.478,12.6725,-1.0515,0.1298,-0.3656
142201.0,-2.2075,-3.0526,14.0181,-0.8184,0.1203,-0.3714
142211.0,-2.3607,-3.3208,14.7172,-0.3773,0.0234,-0.3672
142221.0,-2.4445,-3.2106,14.5256,0.1538,-0.0867,-0.3613
142231.0,-2.6647,-2.8587,14.3077,0.6061,-0.1399,-0.3592
142241.0,-2.8132,-2.3798,14.224,0.9206,-0.1644,-0.3597
142251.0,-3.067,-1.9106,14.4825,1.0935,-0.1804,-0.3581
142261.0,-3.3615,-1.5299,15.0236,1.1291,-0.2501,-0.3581
142271.0,-3.6679,-1.1037,15.4833,1.127,-0.3666,-0.357
142281.0,-3.8547,-0.7614,15.9143,1.0717,-0.514,-0.3539
142291.0,-3.9002,-0.5507,16.429,0.9535,-0.6875,-0.357
142301.0,-4.0055,-0.3783,16.9246,0.7987,-0.9243,-0.3725
142311.0,-4.1204,-0.2251,17.2167,0.6566,-1.2249,-0.3911
142321.0,-4.0366,-0.0982,17.1784,0.5779,-1.5559,-0.406
142331.0,-3.7038,0.1341,16.6253,0.5827,-1.8917,-0.4161
142341.0,-3.1508,0.4645,15.5001,0.6359,-2.1854,-0.4236
142351.0,-2.7126,1.008,14.2551,0.679,-2.3956,-0.4284
142361.0,-2.32,1.6065,13.2328,0.7013,-2.518,-0.4135
142371.0,-1.8292,2.2505,12.2248,0.7279,-2.5701,-0.3618
142381.0,-1.3623,2.5881,11.497,0.7359,-2.5717,-0.2735
142391.0,-1.0199,2.6647,10.884,0.7455,-2.535,-0.1548
142401.0,-0.9457,2.5139,10.4555,0.7843,-2.4557,-0.0213
142411.0,-0.8236,2.2529,9.9455,0.8115,-2.3674,0.1075
142421.0,-0.7805,1.8627,9.6462,0.7561,-2.2652,0.2081
142431.0,-0.7446,1.3455,9.7324,0.6109,-2.1865,0.2692
142441.0,-0.5794,0.735,10.0413,0.4454,-2.1593,0.2889
142451.0,-0.2394,0.1365,10.1275,0.3241,-2.1827,0.2703
142461.0,0.0622,-0.2011,10.0197,0.2352,-2.2184,0.2187
142471.0,0.1915,-0.4429,9.8186,0.1405,-2.2471,0.1405
142481.0,0.2777,-0.6105,9.5337,0.0186,-2.2918,0.042
142491.0,0.5195,-0.6249,9.0261,-0.1517,-2.3716,-0.0777
142501.0,0.6776,-0.5435,8.2648,-0.3858,-2.4504,-0.2128
142511.0,0.9768,-0.6704,7.5681,-0.696,-2.4722,-0.3592
142521.0,1.1516,-1.0343,7.8913,-1.0738,-2.427,-0.5305
142531.0,1.2378,-1.3958,8.4707,-1.4117,-2.4169,-0.7263
142541.0,1.1732,-1.8747,9.3254,-1.7459,-2.4898,-0.9519
142551.0,0.9625,-2.162,10.2903,-1.9709,-2.627,-1.1983
142561.0,0.8236,-2.2338,11.0133,-2.071,-2.8425,-1.4426
142571.0,0.4501,-1.7382,11.4467,-2.038,-3.115,-1.674
142581.0,0.1269,-0.5387,10.9104,-1.8805,-3.4316,-1.8528
142591.0,-0.3807,1.4389,9.4188,-1.7884,-3.7839,-1.9635
142601.0,-0.8284,3.8499,6.5386,-1.9736,-4.2335,-1.9991
142611.0,-0.7685,5.5522,3.711,-2.4706,-4.6182,-1.9247
142621.0,-0.2969,6.6535,1.1684,-2.9591,-4.797,-1.7496
142631.0,0.7638,6.5721,-0.2035,-3.1299,-4.7081,-1.4553
142641.0,1.9992,5.8227,-1.5443,-2.6654,-4.3867,-1.0499
142651.0,2.8276,5.2768,-3.9983,-1.7538,-3.9813,-0.6173
142661.0,3.6033,4.561,-6.9145,-0.7487,-3.4976,-0.2123
142671.0,3.2561,4.6184,-10.8314,0.2192,-2.8362,0.1474
142681.0,2.3535,4.5945,-14.7148,0.6316,-2.0875,0.4629
142691.0,2.1763,4.0223,-18.9693,0.2528,-1.4218,0.6997
142701.0,2.4732,2.7078,-22.0578,-0.7184,-0.6279,0.7998
142711.0,2.6049,1.1947,-22.8407,-1.7278,0.4571,0.7854
142721.0,1.5826,0.68,-21.069,-2.1556,1.8251,0.7487
142731.0,-0.8499,1.3886,-18.5287,-1.8395,3.1916,0.7689
142741.0,-3.2944,1.731,-17.0443,-1.2233,4.3245,0.8684
142751.0,-4.3096,0.6823,-16.6158,-0.8503,5.1312,0.9599
142761.0,-6.5194,0.2849,-13.6493,-0.5428,6.0985,0.9711
142771.0,-9.8114,1.3599,-13.2423,0.0325,7.1394,0.9833
142781.0,-10.1035,0.6704,-10.4172,-0.1596,7.5853,0.9844
142791.0,-12.0404,1.6807,-8.7628,0.0255,8.4484,1.0243
142801.0,-13.5488,2.1739,-5.0733,-0.1293,9.0933,1.0706
142811.0,-14.6501,2.0542,-1.3982,-0.4023,9.4349,1.2148
142821.0,-16.86,1.1277,3.4093,-0.6002,9.751,1.441
142831.0,-19.9365,-0.9337,9.9168,-0.6694,9.685,1.6836
142841.0,-22.4409,-1.8555,15.9143,0.1171,9.395,1.9981
142851.0,-23.7002,-2.7174,20.9277,2.0375,9.4328,2.4509
142861.0,-26.001,-2.9712,23.8822,4.3436,9.7158,2.8149
142871.0,-26.2764,-3.1077,27.8087,5.8522,9.7941,2.9213
142881.0,-27.9523,-1.1636,31.2371,6.495,9.9282,2.7079
142891.0,-28.9363,0.7422,37.3926,5.6127,9.7483,2.2301
142901.0,-29.7288,0.7685,46.5265,3.4002,8.8666,1.5777
142911.0,-29.3864,-1.506,56.2949,0.6577,6.959,0.8551
142921.0,-26.9874,-5.5665,63.2428,-1.5112,4.1766,0.1751
142931.0,-23.523,-6.292,61.7273,-2.4866,0.9259,-0.4299
142941.0,-21.1504,-5.2481,54.8272,-2.6377,-1.9912,-0.8913
142951.0,-18.7586,-2.8539,43.8977,-2.3626,-4.2505,-1.1808
142961.0,-15.7443,-1.1588,32.7814,-2.2162,-5.7825,-1.3383
142971.0,-12.4929,0.0862,22.2014,-2.0736,-6.495,-1.3824
142981.0,-9.1602,0.3974,14.5663,-1.8949,-6.3651,-1.3282
142991.0,-5.9616,0.3424,8.7915,-1.5197,-5.6782,-1.1797
143001.0,-4.0462,0.012,6.0382,-1.0813,-4.6602,-0.994
143011.0,-2.897,-0.51,5.1308,-0.6215,-3.6482,-0.796
143021.0,-2.3272,-1.3815,6.1004,-0.1453,-2.7851,-0.6284
143031.0,-2.0806,-1.6137,7.4077,0.5869,-2.0268,-0.4709
143041.0,-2.3655,-1.7334,8.9902,1.3228,-1.5096,-0.3081
143051.0,-2.9137,-1.7837,9.7348,1.9401,-1.3111,-0.1602
143061.0,-2.9568,-1.9345,10.0652,2.3631,-1.3111,-0.0495
143071.0,-2.5762,-1.8268,9.1243,2.6052,-1.4298,0.0117
143081.0,-2.6528,-1.8675,8.2432,2.5281,-1.5016,-0.0064
143091.0,-2.5546,-1.7095,7.5992,2.1471,-1.5559,-0.1091
143101.0,-2.7485,-1.5658,7.841,1.5335,-1.6384,-0.2788
143111.0,-2.7222,-1.1205,7.5657,0.9504,-1.7836,-0.4486
143121.0,-2.6983,-0.6967,7.4244,0.4459,-1.8757,-0.5922
143131.0,-2.6432,-0.0694,7.0797,0.0537,-1.9273,-0.7109
143141.0,-2.7461,0.6321,6.8929,-0.2857,-1.9656,-0.8019
143151.0,-2.727,1.3048,6.5649,-0.5114,-1.9912,-0.8434
143161.0,-2.7557,1.7023,6.3949,-0.6151,-1.964,-0.8264
143171.0,-2.332,1.7861,6.2944,-0.5598,-1.8842,-0.7572
143181.0,-1.8962,1.7741,5.9113,-0.3719,-1.7671,-0.6582
143191.0,-1.0822,1.6951,5.0996,-0.1666,-1.599,-0.5465
143201.0,-0.3424,1.4174,4.7788,-0.0697,-1.3372,-0.4523
143211.0,0.1652,1.257,4.8459,-0.0357,-1.0201,-0.3858
143221.0,0.2322,1.2019,5.43,-0.0708,-0.7114,-0.3406
143231.0,0.1125,1.1468,6.4165,-0.1469,-0.4826,-0.3161
143241.0,-0.1844,1.1923,7.6375,-0.149,-0.3219,-0.2905
143251.0,-0.3256,1.4437,8.5617,0.0176,-0.2112,-0.241
143261.0,-0.2227,1.6831,9.244,0.2911,-0.0921,-0.1522
143271.0,-0.1891,1.8435,10.0437,0.5449,0.0229,-0.0479
143281.0,-0.0215,1.9369,10.9367,0.729,0.0702,0.0532
143291.0,0.0192,1.9082,11.789,0.8487,0.0394,0.1474
143301.0,-0.0814,2.0399,12.2272,0.8993,-0.0601,0.2251
