time_ms,ax,ay,az,gx,gy,gz
3343611.0,9.0501,4.4149,38.7573,-0.6667,0.4395,-0.0436
3343621.0,8.8873,4.0031,37.8763,-0.8562,0.5013,-0.0325
3343631.0,8.6574,3.5626,38.0774,-0.8413,0.6774,-0.0803
3343641.0,9.0692,3.6009,37.158,-0.9759,0.8705,-0.1676
3343651.0,9.1554,3.1412,37.1197,-1.1648,1.0461,-0.2533
3343661.0,8.2169,3.8116,36.909,-1.3899,1.2728,-0.3267
3343671.0,8.0349,4.6926,37.6943,-1.4293,1.5437,-0.3453
3343681.0,7.6806,6.1196,37.3783,-1.4144,1.7953,-0.2469
3343691.0,7.9104,6.7421,39.15,-1.3686,2.0353,-0.0692
3343701.0,7.5848,7.4316,39.2745,-1.4266,2.0492,0.099
3343711.0,7.4124,7.0581,40.9983,-1.6847,2.0114,0.3459
3343721.0,7.5848,6.4835,41.9177,-1.4904,1.9066,0.6204
3343731.0,8.0158,5.1906,42.1858,-1.3808,1.9374,0.8567
3343741.0,8.9639,3.2082,41.8315,-1.1079,1.9401,0.9578
3343751.0,9.1171,1.9537,43.1435,-0.8764,2.0736,0.9402
3343761.0,8.849,1.6376,45.3174,-0.4656,2.3589,0.7822
3343771.0,7.2401,2.624,49.56,0.3267,2.585,0.7439
3343781.0,6.1579,4.6543,52.6246,0.8636,2.1503,0.8046
3343791.0,6.1483,6.8474,54.0515,1.1366,1.2004,1.1047
3343801.0,8.2648,8.0349,51.6286,1.5123,0.555,1.5144
3343811.0,10.228,10.3908,43.4787,1.8613,0.3108,2.0039
3343821.0,11.8369,11.9135,35.032,-0.282,1.6442,2.676
3343831.0,9.4906,7.9966,38.3647,-1.0397,3.0001,3.289
3343841.0,9.3374,4.6448,42.7604,-1.7522,5.0247,3.8339
3343851.0,7.9104,-2.2793,55.7753,-0.6577,6.23,4.0717
3343861.0,6.0908,-2.7964,57.5662,0.5108,6.4173,4.1361
3343871.0,11.0229,-5.1811,62.9867,-0.3081,6.868,3.9344
3343881.0,6.7708,-10.4962,73.5499,0.9881,6.8941,3.5742
3343891.0,5.1811,-9.3661,72.9274,0.3113,5.6968,3.0612
3343901.0,3.0358,-12.9861,78.4508,-1.0674,3.2725,2.5275
3343911.0,2.2027,-13.8959,73.3488,-2.0146,1.8321,1.8198
3343921.0,-0.7853,-16.9509,72.2762,-3.1544,1.4064,0.9456
3343931.0,-0.067,-18.0523,73.818,-4.1452,1.0658,-0.2395
3343941.0,-1.4365,-17.0659,78.4508,-5.5856,-0.2943,-1.499
3343951.0,-3.3806,-14.9111,78.4508,-6.2704,-2.5052,-2.4733
3343961.0,-4.616,-11.6262,78.4508,-6.5125,-5.1391,-3.1043
3343971.0,-5.6024,-10.8697,78.4508,-6.0932,-7.4932,-3.5678
3343981.0,-5.43,-8.6287,76.2218,-5.6595,-9.3907,-3.9509
3343991.0,-6.2824,-9.0405,73.5786,-5.112,-9.9989,-4.251
3344001.0,-6.1675,-9.0884,72.1325,-2.7532,-10.6619,-4.5943
3344011.0,-7.2018,-6.3111,68.5316,-1.9827,-12.1061,-4.9231
3344021.0,-8.0541,-3.6105,63.8486,-1.682,-14.0494,-5.0716
