time_ms,ax,ay,az,gx,gy,gz
2387641.0,1.2546,-0.0694,9.9862,-0.2687,-0.0724,0.0729
2387651.0,1.2761,-0.2897,9.9168,-0.3166,-0.0596,0.0825
2387661.0,1.2354,-0.5411,10.0149,-0.3549,-0.0415,0.0835
2387671.0,1.2354,-0.747,10.1682,-0.3363,-0.0106,0.0777
2387681.0,1.1085,-0.8356,10.3884,-0.2538,0.0293,0.0644
2387691.0,1.0511,-0.8691,10.556,-0.1399,0.0516,0.0543
2387701.0,1.087,-0.8164,10.5896,-0.0303,0.049,0.041
2387711.0,1.1827,-0.7494,10.4267,0.016,0.0202,0.0218
2387721.0,1.245,-0.656,10.2568,0.0032,-0.0059,-0.0016
2387731.0,1.2809,-0.6728,10.1347,-0.0346,0.0005,-0.0165
2387741.0,1.3384,-0.7661,10.1921,-0.0979,0.0133,-0.0303
2387751.0,1.3958,-0.8691,10.398,-0.1357,0.0239,-0.0484
2387761.0,1.3815,-0.893,10.5465,-0.1469,0.0213,-0.0708
2387771.0,1.3982,-0.8787,10.6135,-0.1564,-0.0117,-0.0984
2387781.0,1.4174,-0.7997,10.4267,-0.1602,-0.0564,-0.1277
2387791.0,1.4413,-0.6225,10.2089,-0.1926,-0.0937,-0.1495
2387801.0,1.4605,-0.4669,10.0461,-0.2166,-0.0963,-0.1575
2387811.0,1.3886,-0.4094,10.058,-0.2128,-0.0686,-0.1415
2387821.0,1.3408,-0.498,10.082,-0.1767,-0.033,-0.1128
2387831.0,1.3934,-0.6225,10.0892,-0.1123,-0.0048,-0.0905
2387841.0,1.4174,-0.7278,10.1969,-0.0378,0.0181,-0.0809
2387851.0,1.482,-0.6895,10.1394,0.0362,0.0341,-0.0857
2387861.0,1.5562,-0.6177,10.0173,0.0612,0.0351,-0.1016
2387871.0,1.5538,-0.4764,9.8952,0.0362,0.0372,-0.1192
2387881.0,1.5706,-0.3903,9.8402,-0.0213,0.0474,-0.1282
2387891.0,1.5395,-0.4693,9.9024,-0.0942,0.0654,-0.1282
2387901.0,1.4916,-0.6584,10.1562,-0.1495,0.0947,-0.1261
2387911.0,1.4341,-0.7973,10.501,-0.1453,0.1245,-0.1277
2387921.0,1.3503,-0.7949,10.7787,-0.0777,0.1389,-0.1362
2387931.0,1.2953,-0.6704,10.896,0.0032,0.1176,-0.1469
2387941.0,1.2929,-0.4717,10.8433,0.0591,0.0761,-0.1532
2387951.0,1.2977,-0.2466,10.6638,0.0782,0.0447,-0.1479
2387961.0,1.415,-0.158,10.4674,0.0351,0.0261,-0.1399
2387971.0,1.4485,-0.2442,10.5201,-0.0596,0.025,-0.1314
2387981.0,1.3384,-0.2442,10.6614,-0.1389,0.041,-0.1245
2387991.0,1.1684,-0.3065,10.9846,-0.2171,0.0351,-0.1224
2388001.0,1.0008,-0.4357,11.3653,-0.2293,0.0223,-0.1101
2388011.0,0.8859,-0.5171,11.5712,-0.1506,0.0096,-0.0905
2388021.0,1.0151,-0.5698,11.5137,-0.067,-0.0415,-0.0788
2388031.0,1.233,-0.5842,11.2312,-0.0266,-0.108,-0.0814
2388041.0,1.4485,-0.5267,10.8002,-0.0617,-0.1554,-0.1006
2388051.0,1.5131,-0.3687,10.4914,-0.1415,-0.1634,-0.1165
2388061.0,1.4557,-0.2251,10.4411,-0.24,-0.1288,-0.1133
2388071.0,1.3503,-0.1508,10.6183,-0.3214,-0.0921,-0.0899
2388081.0,1.2282,-0.0527,10.7141,-0.3528,-0.0718,-0.0452
2388091.0,1.1732,0.1149,10.6757,-0.3794,-0.0851,0.0101
2388101.0,1.2115,0.1365,10.556,-0.4672,-0.1368,0.0628
2388111.0,1.3455,-0.0886,10.4124,-0.5795,-0.2017,0.1224
2388121.0,1.6855,-0.5602,10.3142,-0.7279,-0.2969,0.1596
2388131.0,1.9968,-1.0678,10.0054,-0.8657,-0.4289,0.165
2388141.0,2.3032,-1.5945,9.572,-0.919,-0.5444,0.1463
2388151.0,2.4469,-1.8483,8.8059,-0.8849,-0.6369,0.1086
2388161.0,2.4588,-1.494,8.2432,-0.7694,-0.68,0.0442
2388171.0,2.6001,-0.9218,7.4699,-0.613,-0.7215,-0.0106
2388181.0,2.4517,-0.2131,6.268,-0.4789,-0.7599,-0.0341
2388191.0,2.0638,0.2155,4.9895,-0.4166,-0.7865,-0.0404
2388201.0,2.0399,0.3926,3.3255,-0.3704,-0.7838,-0.0639
2388211.0,2.2482,0.4477,1.9465,-0.3672,-0.6588,-0.1564
2388221.0,2.3942,0.9936,1.2833,-0.4246,-0.4097,-0.3411
2388231.0,2.557,1.8866,1.8651,-0.5337,-0.1336,-0.5917
2388241.0,2.4325,3.4357,2.636,-0.5843,0.0915,-0.8572
2388251.0,1.8579,5.7245,2.9185,-0.5763,0.2661,-1.0616
2388261.0,0.3424,8.1331,2.715,-0.7253,0.3272,-1.1371
2388271.0,-0.5794,10.2568,1.98,-1.0163,0.3342,-1.0429
2388281.0,-1.7286,11.5424,1.7071,-1.2946,0.4438,-0.7875
2388291.0,-2.8084,12.1314,1.7621,-1.4532,0.6204,-0.4326
2388301.0,-3.5362,12.2631,3.0023,-1.45,0.8354,-0.0074
2388311.0,-4.0582,11.8513,4.2449,-1.0706,1.0616,0.522
2388321.0,-4.2329,11.2647,5.3415,-0.3549,1.4037,1.0914
2388331.0,-3.9792,10.4459,6.4572,0.3895,1.7427,1.6373
2388341.0,-4.7046,10.07,7.5513,0.9498,2.0279,2.1205
2388351.0,-6.5625,9.5696,8.5497,1.2659,2.2806,2.5829
2388361.0,-7.9416,8.8442,8.3222,1.1887,2.3072,2.982
2388371.0,-9.0716,6.9983,10.2807,0.7785,2.3509,3.3427
2388381.0,-9.4786,4.6376,13.6134,0.9371,2.7271,3.787
2388391.0,-9.3518,2.4086,16.8504,1.5735,3.0671,4.1968
2388401.0,-8.0685,0.3783,18.8017,2.0917,3.0692,4.4522
2388411.0,-7.3861,-0.5267,19.7258,2.2162,2.8888,4.5059
2388421.0,-6.8738,-2.2913,20.7362,1.8486,2.4589,4.4086
2388431.0,-5.9496,-3.5554,19.9629,1.4144,1.7629,4.1478
2388441.0,-5.6096,-3.9768,17.0778,1.2638,1.2595,3.8376
2388451.0,-4.9488,-3.8355,14.042,1.1691,1.0701,3.5513
2388461.0,-4.5777,-3.4477,12.6055,1.1302,1.293,3.364
2388471.0,-4.6208,-2.8491,12.3541,1.1249,1.7624,3.2927
2388481.0,-5.4229,-2.8276,14.2,0.8642,2.1551,3.2975
2388491.0,-6.1675,-3.6655,16.9126,0.5119,2.2907,3.347
2388501.0,-6.2321,-4.8267,18.9621,0.215,2.0875,3.3502
2388511.0,-5.8945,-5.782,19.4026,-0.0447,1.6049,3.2501
2388521.0,-5.2313,-6.3207,18.737,-0.2969,0.978,3.049
2388541.0,-5.0901,-5.3917,12.9143,-0.1447,0.2985,2.7074
2388551.0,-4.9488,-5.7006,10.3142,-0.0553,0.5076,2.6669
2388561.0,-4.446,-6.6128,9.3661,-0.2373,0.9275,2.5909
2388571.0,-4.4556,-7.6399,10.6279,-0.6955,1.3329,2.4014
2388581.0,-4.798,-8.4228,13.0676,-1.1792,1.5304,2.1508
2388591.0,-4.9704,-9.0285,15.354,-1.4926,1.4128,1.8773
2388611.0,-4.2018,-9.5696,16.1034,-1.3106,0.6545,1.2659
2388621.0,-3.6966,-9.1554,15.1768,-1.0036,0.332,0.8838
2388631.0,-3.4357,-7.9871,13.884,-0.705,0.1208,0.4885
2388641.0,-3.553,-6.4212,12.6031,-0.5135,0.0202,0.1538
2388651.0,-3.6416,-5.1571,11.7364,-0.4816,-0.0059,-0.0798
2388661.0,-3.6248,-4.3144,11.3916,-0.5832,-0.0101,-0.2442
2388671.0,-3.7254,-3.8427,11.4658,-0.7333,-0.0319,-0.364
2388681.0,-3.6871,-3.711,11.7675,-0.821,-0.0825,-0.4518
2388691.0,-3.5937,-3.6559,11.8848,-0.7907,-0.1783,-0.5332
2388701.0,-3.3639,-3.6081,11.734,-0.6513,-0.3038,-0.6236
2388711.0,-3.1125,-3.2274,11.0852,-0.4135,-0.3996,-0.7242
2388721.0,-2.9544,-2.6049,10.2975,-0.1506,-0.4299,-0.8269
2388731.0,-3.0095,-1.7238,9.4164,0.0431,-0.3884,-0.9184
2388741.0,-2.9736,-1.063,8.8562,0.0734,-0.3108,-0.9855
2388751.0,-2.9066,-0.6225,8.7676,-0.0255,-0.2155,-1.0328
2388761.0,-2.8683,-0.3184,9.086,-0.1942,-0.1458,-1.0674
2388771.0,-2.9305,-0.1173,9.6462,-0.348,-0.1155,-1.0828
2388781.0,-3.0358,0.0527,10.24,-0.3821,-0.1181,-1.0605
2388791.0,-3.0646,0.2586,10.477,-0.274,-0.1495,-0.9935
2388801.0,-3.2561,0.3783,10.4004,-0.0899,-0.1926,-0.8822
2388811.0,-3.3112,0.0335,9.8713,0.1096,-0.2144,-0.745
2388821.0,-2.8826,-0.6057,9.4068,0.2405,-0.1841,-0.6439
2388831.0,-2.3774,-1.2617,9.074,0.2458,-0.1378,-0.6284
2388841.0,-2.2553,-1.7047,9.0405,0.1415,-0.0734,-0.6976
2388851.0,-2.2913,-1.7693,9.3829,0.0213,0.0016,-0.812
2388861.0,-2.3942,-1.6831,10.0868,-0.067,0.0521,-0.9259
2388871.0,-2.557,-1.4772,10.6614,-0.1022,0.0394,-1.0206
2388881.0,-2.6647,-1.1684,11.0085,-0.107,-0.0325,-1.0887
2388891.0,-2.8611,-0.9481,11.0133,-0.0745,-0.124,-1.1142
2388901.0,-2.9305,-0.9625,10.9176,-0.0027,-0.1926,-1.11
2388911.0,-2.8515,-1.0247,10.7284,0.0851,-0.2363,-1.0972
2388921.0,-2.6935,-1.142,10.501,0.1618,-0.2746,-1.0993
2388931.0,-2.5402,-1.1923,10.3094,0.224,-0.2969,-1.1249
2388941.0,-2.4804,-1.0846,10.1251,0.2591,-0.3193,-1.1637
2388951.0,-2.4373,-0.8763,9.8067,0.282,-0.3453,-1.209
2388961.0,-2.3463,-0.6608,9.3805,0.29,-0.3469,-1.2526
2388971.0,-2.1045,-0.5195,9.0285,0.2538,-0.3155,-1.2941
2388981.0,-1.9489,-0.3448,8.8825,0.1564,-0.2458,-1.3377
2388991.0,-1.9776,-0.0934,8.916,0.0165,-0.165,-1.3729
2389001.0,-2.1213,-0.0096,9.4116,-0.1426,-0.1181,-1.3803
2389011.0,-2.2146,0.0096,9.8785,-0.2091,-0.0926,-1.3473
2389021.0,-2.1596,-0.0144,10.2879,-0.1735,-0.1054,-1.292
2389031.0,-2.0662,0.0383,10.4148,-0.0559,-0.1554,-1.2233
2389041.0,-1.9872,0.1197,10.2615,0.1128,-0.2059,-1.143
2389051.0,-1.8555,0.2227,9.7013,0.3017,-0.2565,-1.0594
2389061.0,-1.719,0.2059,8.8873,0.4539,-0.2703,-0.9812
2389071.0,-1.5586,0.1891,8.0062,0.5571,-0.1926,-0.9174
2389081.0,-1.3934,0.1173,7.6495,0.5332,-0.0399,-0.8828
2389091.0,-1.4078,0.1173,7.7189,0.39,0.1229,-0.8748
2389101.0,-1.5634,0.0263,8.3893,0.1713,0.248,-0.8775
