time_ms,ax,ay,az,gx,gy,gz
2448631.0,-0.7326,0.9529,10.8218,-0.1559,-0.0192,-0.0841
2448641.0,-0.5219,0.8835,10.6638,-0.1623,-0.0867,-0.0825
2448651.0,-0.3496,0.8284,10.252,-0.1767,-0.1383,-0.0857
2448661.0,-0.2705,0.8092,9.9168,-0.2022,-0.1554,-0.0921
2448671.0,-0.2945,0.8116,9.7372,-0.2341,-0.133,-0.1006
2448681.0,-0.4118,0.7853,9.6558,-0.248,-0.0899,-0.1043
2448691.0,-0.4238,0.6776,9.7037,-0.2464,-0.0564,-0.1091
2448701.0,-0.3496,0.6369,9.7683,-0.232,-0.0303,-0.1208
2448711.0,-0.2849,0.7566,9.7755,-0.2054,-0.0011,-0.1352
2448721.0,-0.2466,0.8882,9.8282,-0.1745,0.0415,-0.1346
2448731.0,-0.3136,0.9984,9.9551,-0.1373,0.0835,-0.1171
2448741.0,-0.4142,0.9768,10.1059,-0.099,0.1101,-0.0862
2448751.0,-0.4477,0.8691,10.2185,-0.0553,0.1293,-0.0532
2448761.0,-0.4693,0.7063,10.3238,-0.0117,0.1479,-0.0319
2448771.0,-0.4717,0.6488,10.4028,0.0181,0.1538,-0.0271
2448781.0,-0.4381,0.6488,10.4291,0.0149,0.1479,-0.042
2448791.0,-0.4645,0.7877,10.422,-0.0234,0.1314,-0.0644
2448801.0,-0.5171,0.905,10.5297,-0.0867,0.1133,-0.0835
2448811.0,-0.5866,0.972,10.6781,-0.1298,0.1038,-0.0862
2448821.0,-0.6057,0.9194,10.7524,-0.1554,0.0862,-0.0798
2448831.0,-0.5602,0.8619,10.7188,-0.1751,0.0575,-0.0772
2448841.0,-0.5842,0.8332,10.6949,-0.1932,0.0325,-0.0809
2448851.0,-0.5962,0.893,10.5704,-0.2054,0.0059,-0.0883
2448861.0,-0.6752,0.9625,10.4842,-0.215,-0.016,-0.0921
2448871.0,-0.6823,1.0415,10.3741,-0.1937,-0.0208,-0.0809
2448881.0,-0.7302,1.0894,10.2256,-0.1703,-0.0149,-0.0601
2448891.0,-0.6991,1.1181,10.1155,-0.1511,0.0037,-0.0309
2448901.0,-0.668,1.0558,10.1299,-0.1261,0.0442,0.0037
2448911.0,-0.7302,0.9673,10.3094,-0.0968,0.0819,0.0378
2448921.0,-0.7661,0.7973,10.5082,-0.0756,0.091,0.0623
2448931.0,-0.7374,0.5986,10.6183,-0.05,0.0772,0.0766
2448941.0,-0.7087,0.4908,10.671,-0.0298,0.0447,0.0772
2448951.0,-0.6704,0.4788,10.4746,-0.0223,0.008,0.0681
2448961.0,-0.6584,0.4645,10.2975,-0.0197,-0.009,0.0596
2448971.0,-0.6704,0.4381,10.1945,-0.0282,-0.0074,0.0511
2448981.0,-0.6201,0.3831,10.1825,-0.0452,0.0027,0.0415
2448991.0,-0.6416,0.3065,10.2783,-0.0511,0.0202,0.0266
2449001.0,-0.5698,0.2418,10.3717,-0.0521,0.0181,0.0053
2449011.0,-0.5363,0.2394,10.3717,-0.049,0.0016,-0.0186
2449021.0,-0.5315,0.2418,10.4076,-0.0394,-0.0144,-0.0399
2449031.0,-0.4764,0.2897,10.3286,-0.0404,-0.0351,-0.058
2449041.0,-0.3974,0.2897,10.2113,-0.049,-0.0516,-0.0692
2449051.0,-0.3112,0.3256,10.1083,-0.0452,-0.0484,-0.075
2449061.0,-0.2729,0.3567,10.0221,-0.0458,-0.0378,-0.0782
2449071.0,-0.3041,0.4573,9.9288,-0.042,-0.0234,-0.0745
2449081.0,-0.4262,0.5914,9.8474,-0.0234,-0.0011,-0.0607
2449091.0,-0.4956,0.7111,9.9024,0.0069,0.0351,-0.0314
2449101.0,-0.5195,0.8332,9.9431,0.0138,0.0756,0.0117
2449111.0,-0.4405,0.8954,10.0772,-0.0713,0.0702,0.0506
2449121.0,-0.3807,0.68,10.4124,-0.1788,0.0612,0.0974
2449131.0,-0.4764,0.395,10.6231,-0.2347,0.0506,0.1479
2449141.0,-0.3519,-0.0503,10.8409,-0.2522,0.0122,0.19
2449151.0,-0.2107,-0.565,10.9056,-0.2054,-0.0032,0.2256
2449161.0,-0.158,-1.4269,11.3844,-0.1181,-0.0048,0.2405
2449171.0,0.1604,-2.4181,11.6502,0.0181,-0.0617,0.2059
2449181.0,0.7422,-3.1843,11.5736,0.1591,-0.1607,0.0851
2449191.0,1.2115,-3.6272,11.1474,0.2198,-0.2458,-0.1288
2449201.0,1.3815,-3.7062,10.8314,0.0899,-0.3507,-0.4342
2449211.0,1.336,-3.4955,10.7045,-0.1564,-0.4816,-0.7982
2449221.0,1.1157,-3.213,10.8218,-0.3831,-0.5875,-1.1792
2449231.0,0.6656,-2.9832,11.4515,-0.3954,-0.6098,-1.5548
2449241.0,0.5507,-2.5426,12.1027,-0.1064,-0.5912,-1.9672
2449251.0,0.1484,-0.7015,11.9614,0.3315,-0.5784,-2.4679
2449261.0,-0.8236,2.9473,10.7356,0.5459,-0.6332,-3.0293
2449271.0,-1.7262,7.4795,9.7612,0.2331,-0.7359,-3.5625
2449281.0,-3.8427,12.2894,9.5744,-0.513,-0.812,-3.9461
2449291.0,-5.3247,15.5671,11.0061,-1.3361,-0.8391,-4.1031
2449301.0,-6.7828,18.1911,13.2088,-1.8379,-0.8711,-4.076
2449311.0,-8.4898,22.041,15.1888,-1.8102,-0.9727,-3.7652
2449321.0,-10.2879,26.0345,16.4482,-1.2946,-1.1467,-3.0235
2449331.0,-10.6518,29.4271,15.7634,-0.4778,-1.4255,-1.9129
2449341.0,-9.1482,31.7327,12.5911,0.1857,-1.8395,-0.5986
2449351.0,-8.6598,32.9921,8.1139,0.522,-1.9912,0.8801
2449361.0,-8.6119,31.455,4.2282,0.4672,-1.6942,2.5238
2449371.0,-8.9328,25.8765,3.2465,-0.0144,-1.193,4.1276
2449381.0,-10.173,18.6891,3.8068,-0.4566,-0.7146,5.4786
2449391.0,-11.9997,12.2224,4.142,-0.6795,-0.422,6.5237
2449401.0,-14.188,6.5529,5.351,-0.6364,-0.182,7.3623
2449411.0,-15.2439,1.6185,5.9711,-0.1676,0.0341,8.0711
2449421.0,-14.437,-2.5426,5.7772,0.4347,0.1783,8.5931
2449431.0,-14.4466,-5.3582,5.0518,0.9913,0.4049,8.9432
2449441.0,-14.6669,-8.4228,5.2002,1.4457,0.7891,9.2061
2449451.0,-15.378,-11.1642,5.1858,1.9507,1.3324,9.3774
2449461.0,-14.1521,-16.7355,7.2616,2.1598,1.8007,9.3205
2449471.0,-10.9918,-21.3156,9.177,2.4759,2.2732,8.7155
2449481.0,-9.2273,-22.0913,10.8266,2.4924,2.627,7.6108
2449491.0,-9.0477,-21.6723,14.2982,1.9789,2.6669,6.3779
2449501.0,-8.6886,-20.4369,16.4434,1.6102,2.3801,5.2328
2449511.0,-6.7876,-19.3092,17.8584,1.3399,1.7964,4.1707
2449521.0,-5.3965,-17.0826,17.1257,1.3941,1.3079,3.2475
2449531.0,-4.9009,-14.3604,15.3804,1.4149,1.0014,2.4727
2449541.0,-4.391,-12.2942,13.8552,1.1196,0.7503,1.8246
2449551.0,-3.6344,-10.9152,12.9024,0.7008,0.6151,1.267
2449561.0,-3.213,-9.7061,12.5552,0.3581,0.6199,0.771
2449571.0,-2.9521,-8.3342,12.572,0.0862,0.6183,0.3225
2449581.0,-2.4541,-6.8474,12.3732,-0.1825,0.5161,-0.0734
2449591.0,-2.0782,-5.1475,12.1266,-0.4113,0.4065,-0.3789
2449601.0,-2.3966,-3.7397,12.323,-0.5087,0.3991,-0.5406
2449611.0,-2.5067,-2.8299,12.4522,-0.4448,0.3927,-0.5656
2449621.0,-2.4373,-2.4924,12.7874,-0.2661,0.3837,-0.5071
2449631.0,-2.2122,-2.4157,12.7755,-0.0016,0.3629,-0.4236
2449641.0,-2.0446,-2.4708,12.6677,0.2027,0.3006,-0.373
2449651.0,-1.5945,-2.3487,11.8585,0.2943,0.1681,-0.3831
2449661.0,-1.2019,-2.3487,11.3365,0.207,0.0633,-0.4762
2449671.0,-0.9768,-1.9896,10.6326,0.0553,0.0458,-0.6258
2449681.0,-0.8811,-1.6712,10.4004,-0.2357,0.0458,-0.8221
2449691.0,-0.9601,-1.1205,10.6542,-0.5651,0.0383,-1.0264
2449701.0,-1.3288,-0.577,11.1857,-0.8046,0.0335,-1.177
2449711.0,-1.6352,-0.261,11.8609,-0.8987,-0.0059,-1.2505
2449721.0,-1.652,-0.1077,12.05,-0.8168,-0.0851,-1.2526
2449731.0,-1.4676,0.0551,11.746,-0.6348,-0.1697,-1.2233
2449741.0,-1.3838,0.4286,10.999,-0.4464,-0.223,-1.193
2449751.0,-1.2306,0.8356,10.2663,-0.3565,-0.2373,-1.176
2449761.0,-0.972,1.2067,9.6798,-0.3746,-0.1985,-1.1685
2449771.0,-0.9577,1.4796,9.651,-0.4406,-0.0968,-1.1563
2449781.0,-1.0989,1.6137,10.0437,-0.4922,0.0085,-1.1233
2449791.0,-1.1516,1.64,10.5536,-0.4773,0.0708,-1.0653
2449801.0,-1.2402,1.6496,10.9583,-0.3725,0.1,-0.9828
2449811.0,-1.5203,1.5323,11.2767,-0.1979,0.1101,-0.8753
2449821.0,-1.6017,1.1253,11.5855,0.0208,0.1101,-0.7604
2449831.0,-1.4054,0.7853,11.3318,0.2001,0.0452,-0.6875
2449841.0,-0.9553,0.5626,10.8649,0.2379,-0.05,-0.6822
2449861.0,-0.8308,1.1732,10.3501,-0.0681,-0.0952,-0.8077
2449871.0,-0.9361,1.5107,10.6279,-0.331,-0.1282,-0.8636
2449881.0,-1.1109,1.7334,11.0181,-0.4922,-0.157,-0.8684
2449891.0,-1.2258,1.8699,11.1953,-0.5396,-0.1953,-0.8285
2449901.0,-1.3503,1.8483,11.2049,-0.5268,-0.2607,-0.7593
2449911.0,-1.4437,1.5754,11.2001,-0.4406,-0.3193,-0.6635
2449921.0,-1.3216,1.1684,10.8769,-0.2767,-0.3682,-0.5656
2449931.0,-0.9697,0.9242,10.1275,-0.0995,-0.4001,-0.4991
2449941.0,-0.5411,0.9529,9.2368,-0.0319,-0.3895,-0.4805
2449951.0,-0.2298,0.9242,8.7939,-0.1064,-0.3257,-0.4895
2449961.0,-0.0982,0.9074,8.849,-0.2256,-0.2299,-0.5066
2449971.0,-0.182,0.9074,9.098,-0.3028,-0.1341,-0.5156
2449981.0,-0.3759,0.9218,9.5505,-0.3081,-0.0479,-0.5039
2449991.0,-0.644,0.9984,9.8761,-0.2214,0.0309,-0.4624
2450001.0,-0.7159,0.9194,10.2903,-0.1139,0.0713,-0.3996
2450011.0,-0.6847,0.7709,10.6542,-0.0048,0.075,-0.3368
