time_ms,ax,ay,az,gx,gy,gz
287311.0,2.1955,1.0175,10.3262,-0.1048,0.0293,-0.0309
287321.0,2.2003,0.9385,10.1825,-0.0793,0.0431,-0.0245
287331.0,2.2697,0.8428,10.1131,-0.0569,0.0607,-0.0218
287341.0,2.296,0.7733,10.0389,-0.0479,0.0782,-0.0309
287351.0,2.2051,0.7374,10.1107,-0.0436,0.1011,-0.0468
287361.0,2.2098,0.8571,10.1299,-0.0271,0.1208,-0.0617
287371.0,2.1644,0.9098,10.2663,-0.0218,0.1266,-0.0697
287381.0,2.1189,1.0056,10.1586,-0.0223,0.1091,-0.0756
287391.0,2.0973,1.1851,10.0461,-0.0261,0.0963,-0.0788
287401.0,2.1045,1.2929,9.9311,-0.041,0.1016,-0.0766
287411.0,2.1332,1.4006,9.8881,-0.0681,0.1229,-0.0697
287421.0,2.1165,1.47,9.9623,-0.1054,0.1389,-0.058
287431.0,2.0973,1.4653,10.0317,-0.1272,0.1474,-0.0367
287441.0,2.15,1.3192,10.161,-0.1165,0.1538,-0.0074
287451.0,2.3224,1.1588,10.1323,-0.0915,0.1421,0.016
287461.0,2.4756,1.0391,9.8593,-0.0883,0.116,0.0223
287471.0,2.7294,0.9888,9.4595,-0.108,0.1048,0.0154
287481.0,2.8683,1.0606,9.1913,-0.1756,0.1235,-0.0043
287491.0,2.9305,1.0798,9.0309,-0.2618,0.1729,-0.017
287501.0,2.9808,1.0008,9.2225,-0.3081,0.2804,-0.0144
287511.0,2.8036,0.8763,9.572,-0.2762,0.4284,0.0053
287521.0,2.6743,0.7614,9.9742,-0.2261,0.5773,0.0261
287531.0,2.3152,0.5818,10.8553,-0.2368,0.7077,0.0309
287541.0,1.8771,0.3663,12.1506,-0.2496,0.7827,0.0255
287551.0,1.3551,0.2203,13.8145,-0.1027,0.8657,0.0346
287561.0,0.759,0.2634,15.4115,0.232,0.9424,0.067
287571.0,-0.0575,0.3903,16.9701,0.6082,0.9174,0.1032
287581.0,-0.5578,0.6871,17.7339,0.986,0.7817,0.1336
287591.0,-0.5722,1.1564,18.0403,1.2127,0.5853,0.1266
287601.0,-0.8595,2.0446,18.105,1.1063,0.3161,0.0484
287611.0,-1.1301,2.8898,18.761,0.5848,-0.0894,-0.0761
287621.0,-1.3838,3.2561,19.5127,-0.0878,-0.6013,-0.1836
287631.0,-1.6735,3.3303,19.9676,-0.6619,-1.1557,-0.249
287641.0,-1.5467,3.2226,19.4673,-1.0876,-1.773,-0.274
287651.0,-1.5083,2.9568,18.4928,-1.4149,-2.353,-0.2767
287661.0,-1.3503,2.7988,17.0898,-1.5905,-2.8516,-0.2554
287671.0,-1.2115,2.5187,15.3325,-1.6357,-3.2704,-0.1985
287681.0,-0.9481,1.9273,13.5392,-1.5607,-3.5689,-0.1133
287691.0,-0.5626,1.2953,11.7005,-1.3361,-3.7631,-0.0149
287701.0,0.1006,0.5866,9.5074,-1.0408,-3.8967,0.0798
287711.0,0.8811,0.1484,6.62,-0.7833,-3.9653,0.1517
287721.0,1.9872,-0.4597,3.1627,-0.7444,-4.0127,0.1857
287731.0,3.1747,-1.0989,-0.4621,-0.912,-3.9148,0.1671
287741.0,4.786,-1.6376,-3.1436,-1.1829,-3.5763,0.0937
287751.0,6.1339,-1.9632,-4.6902,-1.3473,-3.0144,0.0144
287761.0,7.2042,-2.2721,-5.6,-1.3106,-2.3881,-0.0357
287771.0,7.6136,-2.7222,-6.7109,-1.1951,-1.8704,-0.0601
287781.0,8.1163,-3.3782,-7.9679,-0.9275,-1.3691,-0.0654
287791.0,8.6574,-3.4477,-9.7636,-0.423,-0.7205,-0.1011
287801.0,8.3701,-2.8539,-11.8824,-0.0383,-0.05,-0.1873
287811.0,8.1259,-1.2929,-14.5687,0.0921,0.6912,-0.29
287821.0,7.0892,0.0503,-15.6198,-0.2613,1.5405,-0.373
287831.0,5.2984,0.3328,-14.1138,-0.688,2.5313,-0.3613
287841.0,3.8259,0.7757,-12.0093,-0.8375,3.4944,-0.3161
287851.0,1.5395,1.2761,-10.0437,-1.0781,4.0999,-0.2756
287861.0,-0.5578,1.1779,-7.9942,-1.3345,4.4724,-0.1825
287871.0,-2.3846,-0.3448,-4.4556,-1.06,5.0998,0.0192
287881.0,-4.4341,-2.3798,-0.1748,-0.1101,5.9496,0.24
287891.0,-6.1746,-3.9696,4.446,1.1691,6.7727,0.348
287901.0,-7.9416,-4.6998,10.0006,2.5653,7.7066,0.315
287911.0,-10.137,-3.7517,16.7666,3.7445,8.5644,0.0984
287921.0,-13.204,-0.6752,26.5038,4.251,8.9645,-0.2927
287931.0,-15.1433,3.3543,37.2322,4.2787,8.4915,-0.6029
287941.0,-14.8488,7.0629,45.7795,4.0552,7.1218,-0.7285
287951.0,-14.0947,10.1347,51.2048,3.2496,4.8922,-0.7849
287961.0,-13.4219,11.6382,52.3995,2.0625,2.0135,-0.7497
287971.0,-12.1625,11.8034,47.5752,0.9908,-0.9668,-0.6024
287981.0,-10.647,10.9607,37.5722,-0.0112,-3.6029,-0.4299
287991.0,-8.8992,9.4834,25.697,-0.9684,-5.3898,-0.3001
288001.0,-7.003,7.6591,15.7945,-1.7288,-6.1597,-0.2293
288011.0,-4.5849,6.1411,8.0397,-1.9257,-6.0145,-0.1586
288021.0,-2.5738,4.9129,3.3878,-1.6123,-5.0976,-0.0617
288031.0,-1.1899,3.8044,1.7549,-1.0509,-3.8573,0.0426
288041.0,-0.1628,3.4668,2.4373,-0.423,-2.594,0.1091
288051.0,0.261,3.4381,4.8123,0.0122,-1.6251,0.1357
288061.0,0.5459,3.6895,6.9959,0.2293,-1.0871,0.1442
