time_ms,ax,ay,az,gx,gy,gz
1309371.0,-1.5634,0.3089,10.2735,-0.0346,0.0516,-0.0681
1309381.0,-1.5778,0.2945,10.2927,-0.0335,0.0543,-0.0575
1309391.0,-1.561,0.261,10.2639,-0.0335,0.0591,-0.0479
1309401.0,-1.506,0.2658,10.2568,-0.0261,0.0708,-0.0378
1309411.0,-1.5299,0.2586,10.3214,-0.0266,0.0729,-0.0282
1309421.0,-1.5251,0.2131,10.2831,-0.0415,0.0644,-0.0202
1309431.0,-1.5562,0.1365,10.2999,-0.0617,0.0596,-0.0154
1309441.0,-1.5299,0.1341,10.2927,-0.0729,0.0585,-0.0144
1309451.0,-1.573,0.0838,10.3621,-0.0873,0.0596,-0.0149
1309461.0,-1.5778,0.0455,10.4028,-0.0926,0.0527,-0.0154
1309471.0,-1.5826,0.0287,10.4363,-0.0899,0.041,-0.0186
1309481.0,-1.585,-0.0072,10.4363,-0.0788,0.0271,-0.0186
1309491.0,-1.5179,0.0072,10.3334,-0.0601,0.016,-0.0213
1309501.0,-1.5419,0.0072,10.2089,-0.0474,0.0128,-0.0223
1309511.0,-1.5514,0.067,10.0844,-0.0436,0.017,-0.0245
1309521.0,-1.5443,0.0934,10.0173,-0.0415,0.0388,-0.0239
1309531.0,-1.5395,0.0982,10.0556,-0.0436,0.0623,-0.0197
1309541.0,-1.5251,0.0862,10.1203,-0.0553,0.0782,-0.0154
1309551.0,-1.5203,0.0862,10.2304,-0.0681,0.0814,-0.0128
1309561.0,-1.5514,0.0455,10.3501,-0.0734,0.0803,-0.008
1309571.0,-1.573,-0.0239,10.4196,-0.074,0.0697,-0.0043
1309581.0,-1.5395,-0.1101,10.398,-0.0649,0.0559,-0.0048
1309591.0,-1.5634,-0.1508,10.3813,-0.05,0.0495,-0.0106
1309601.0,-1.506,-0.1317,10.2424,-0.0357,0.0506,-0.0213
1309611.0,-1.5395,-0.091,10.1969,-0.0388,0.0537,-0.0367
1309621.0,-1.5586,-0.012,10.307,-0.0537,0.0591,-0.0479
1309631.0,-1.5658,0.1197,10.2927,-0.0601,0.067,-0.0506
