time_ms,ax,ay,az,gx,gy,gz
23241.0,-0.7302,1.1444,11.054,0.3437,0.2863,-0.033
23251.0,-0.7853,1.0534,11.0923,0.4347,0.2799,0.0112
23261.0,-0.7805,0.9816,10.92,0.5263,0.2751,0.0484
23271.0,-0.8954,0.8787,10.7571,0.5992,0.2826,0.0761
23281.0,-0.8859,0.8523,10.4651,0.6295,0.2985,0.0873
23291.0,-1.0343,0.7781,10.3022,0.5789,0.3166,0.0788
23301.0,-0.9601,0.7087,10.3956,0.4917,0.3384,0.0527
23311.0,-1.0798,0.759,10.477,0.4161,0.3927,0.017
23321.0,-1.2163,0.6943,11.0875,0.3358,0.4406,-0.0176
23331.0,-1.1684,0.6823,11.6119,0.3038,0.456,-0.0506
23341.0,-1.1588,0.7183,12.1841,0.2687,0.4257,-0.0883
23351.0,-1.2282,0.8691,12.5001,0.2309,0.3342,-0.1298
23361.0,-1.3168,1.1133,12.6246,0.2097,0.2176,-0.1639
23371.0,-1.3862,1.3982,12.3589,0.1873,0.1038,-0.1841
23381.0,-1.5275,1.7047,12.0069,0.1054,-0.0069,-0.1974
23391.0,-1.6664,1.913,11.9423,-0.0346,-0.0921,-0.2011
23401.0,-1.6137,1.822,12.1027,-0.182,-0.166,-0.1873
23411.0,-1.4796,1.6448,12.2368,-0.3124,-0.2671,-0.1767
23421.0,-1.3455,1.4653,12.2703,-0.4289,-0.3906,-0.174
23431.0,-1.2977,1.257,12.378,-0.5028,-0.5055,-0.1735
23441.0,-1.2905,1.0151,12.311,-0.4725,-0.6103,-0.1681
23451.0,-1.3384,0.7542,11.8393,-0.3927,-0.6944,-0.1681
23461.0,-1.3599,0.5698,11.382,-0.3118,-0.7455,-0.183
23471.0,-1.4293,0.6464,10.9223,-0.2554,-0.7716,-0.2134
23481.0,-1.3743,0.814,10.5058,-0.2464,-0.7721,-0.248
23491.0,-1.3862,1.0534,10.3669,-0.2815,-0.7556,-0.2762
